Date,Category,Fund,Amount,Note
2016-12-18,Personal,Gifts (Including Christmas),50.85,Raven's Nest
2016-12-18,Food,Restaurants,8.13,Shell
2016-12-18,Recreational,Entertainment,17.98,Sherlocks
2016-12-18,Food,Restaurants,4.4,Starbucks
2016-12-18,Food,Restaurants,4.4,Starbucks
2016-12-19,Recreational,Vacation,25,United
2016-12-19,Medical / Health,Medications,37.25,Walmart
2016-12-19,Clothing,Jamie,10.97,Target
2016-12-19,Clothing,Jamie,10.97,Target
2016-12-19,Personal,Pet Supplies,15.38,Target
2016-12-19,Food,Restaurants,12.26,Colombo Yogurt - Denver
2016-12-19,Food,Restaurants,11.81,Sansalvador Bake
2016-12-19,Transportation,Gas & Oil,16.43,Phillips 66
2016-12-19,Recreational,Vacation,100.14,Avis Rent A Car
2016-12-20,Transportation,Gas & Oil,28.39,Anderson Speedi
2016-12-21,Personal,Gifts (Including Christmas),37.24,Walmart
2016-12-22,Food,Restaurants,3.59,McDonalds
2016-12-23,Personal,Gifts (Including Christmas),34.52,Target
2016-12-23,Personal,Gifts (Including Christmas),32.94,Amazon
2016-12-27,Personal,Gifts (Including Christmas),3.25,Amazon
2016-12-28,Recreational,Entertainment,2,Fandango
2016-12-28,Personal,Gifts (Including Christmas),81.09,Amazon
2016-12-28,Recreational,Entertainment,5.3,Edwards
2016-12-28,Recreational,Entertainment,9.11,Edwards
2016-12-28,Recreational,Entertainment,10,Paypal
2016-12-29,Food,Groceries,5.25,Walmart
2016-12-30,Food,Restaurants,28.8,Cafe Rio
2016-12-30,Medical / Health,Medications,4,Walmart - Prozac
2016-12-30,Food,Groceries,7,Walmart - Black Eyed Peas and Collards
2016-12-31,Utilities,Phone / Mobile,120,To Cindy - Cell phones
2017-01-01,Food,Restaurants,13.74,Arctic Circle
2017-01-02,Food,Groceries,17.98,Walmart - Party Stuff
2017-01-03,Recreational,Entertainment,3.18,Redbox
2017-01-03,Housing,Rent,877,Rent
2017-01-04,Personal,Gifts (Including Christmas),42.52,Tommy Vaughns Grill
2017-01-05,Insurance,Health Insurance,189.6,Bluecross
2017-01-05,Medical / Health,Medications,24.99,Medications
2017-01-05,Utilities,Internet,52.73,Comcast
2017-01-06,Transportation,Gas & Oil,25.99,Racetrac
2017-01-06,Food,Restaurants,6.35,Publix
2017-01-08,Food,Restaurants,35,Denver Airport
2017-01-09,Utilities,Electricity,71.53,Knox Util Board
2017-01-09,Food,Groceries,103,Aldi
2017-01-09,Transportation,Gas & Oil,23.96,Sams Club
2017-01-09,Utilities,Water,2.5,West Knox Utility
2017-01-09,Utilities,Water,59.8,West Knox Utility
2017-01-09,Recreational,Vacation,25,United - Checked Bags
2017-01-09,Food,Groceries,27.26,Walmart
2017-01-10,Recreational,Netflix,78,Netflix through Dec2017
2017-01-10,Food,Groceries,27.97,Walmart
2017-01-10,Food,Groceries,29.13,Sam's Club
2017-01-10,Food,Restaurants,1.08,Sam's Club
2017-01-10,Medical / Health,Optometrist,45,Vision Precision Holdings
2017-01-10,Food,Restaurants,27.73,Chaiyos
2017-01-10,Recreational,Weddings,489,Air BnB
2017-01-10,Recreational,Weddings,170,BachParty - to Curtis
2017-01-11,Personal,Pocket Money (Darren),14.75,Kroger
2017-01-11,Recreational,Entertainment,5,Usa Usa Sweet Amandas
2017-01-11,Saving,College Fund,"1,010.00",Student Fees
2017-01-11,Medical / Health,Optometrist,150,Stanton Optical
2017-01-11,Housing,Down Payment,179.73,"Walmart - Pots, Heater"
2017-01-12,Recreational,Entertainment,2,Paypal - Movies
2017-01-12,Recreational,Entertainment,2,Paypal - Movies
2017-01-12,Food,Restaurants,18.53,Charley's Subs
2017-01-12,Transportation,Repairs & Tires,21.84,Valvoline - 2014 Car
2017-01-12,Personal,Books / Supplies,17.25,Abebooks
2017-01-12,Food,Groceries,30.15,Kroger
2017-01-12,Housing,Down Payment,635.99,Camera
2017-01-13,Personal,Cosmetics / Hair Care,22.98,Amazon
2017-01-14,Food,Restaurants,44,Soccer Taco
2017-01-14,Personal,Cosmetics / Hair Care,5.99,Amazon
2017-01-15,Food,Groceries,9.89,Walmart
2017-01-17,Food,Restaurants,14.41,Nick J S Cafe
2017-01-17,Debts,2014 Kia Soul,"2,015.47",Car
2017-01-19,Food,Restaurants,11.62,Huey Lueys
2017-01-19,Transportation,Gas & Oil,27.19,Gas 2014 Kia
2017-01-20,Food,Groceries,63.78,Walmart - Food and Vitamins
2017-01-20,Food,Restaurants,4.89,McDonalds
2017-01-21,Housing,Down Payment,22.97,Walmart Swiffer
2017-01-21,Housing,Down Payment,21.84,Amazon
2017-01-21,Personal,Pocket Money (Jamie),16.33,Amazon
2017-01-21,Recreational,Weddings,3.87,Amazon
2017-01-21,Saving,College Fund,12.65,Walmart
2017-01-22,Personal,Pocket Money (Jamie),15,Pioneer Woman Glasses and Blue Bottle for Darren
2017-01-22,Food,Restaurants,7.65,Subway
2017-01-22,Recreational,Weddings,7.12,Amazon
2017-01-23,Transportation,Gas & Oil,21.07,Sams - Gas
